# main_hyst results
# columns:
# dop_turn  psi1_b_turn  psi2_b_turn  abspsi1_b_turn  abspsi2_b_turn  mean_abspsi1_b_in_highlight  mean_abspsi2_b_in_highlight
1.7795  -9.10093087805717  4.825856550903071  9.10093087805717  4.825856550903071  2.76145544588031  4.181537445957384
1.778  -8.148095078303278  0.6253723225255958  8.148095078303278  0.6253723225255958  0.4670851804280665  0.01496346959272366
1.7785  -8.568715557198257  4.751891442507152  8.568715557198257  4.751891442507152  2.760981842121566  4.181496101126773
1.779  -8.83692869384234  4.787912231047198  8.83692869384234  4.787912231047198  2.761849619746782  4.181571856493146
1.78  -9.359464750073684  4.866136817163013  9.359464750073684  4.866136817163013  2.761156403434174  4.181511336824077
1.7805  9.718107009179814  -8.974183460751568  9.718107009179814  8.974183460751568  3.475476890300972  8.355024264229929
1.781  -9.956970372593783  9.008133455459461  9.956970372593783  9.008133455459461  3.475127508794403  8.354993786935394
1.7815  -10.28219266350643  13.10683106449195  10.28219266350643  13.10683106449195  3.973936633075257  12.50210825038514
1.782  -10.49985568353641  13.1346271267124  10.49985568353641  13.1346271267124  3.972841889651958  12.50201259122083
1.7825  -10.70814709244608  13.16248311614684  10.70814709244608  13.16248311614684  3.973396974696898  12.50206110006056
1.783  10.90649223203427  -13.19037616925041  10.90649223203427  13.19037616925041  3.973958336941104  12.50211014934523
1.7835  11.09447523331681  -13.21829983199748  11.09447523331681  13.21829983199748  3.972808993677203  12.50200971372976
1.784  11.34878729830849  -17.28778221343794  11.34878729830849  17.28778221343794  4.368782701967775  16.62847405274871
1.7845  11.51313833172044  -17.30829789606476  11.51313833172044  17.30829789606476  4.369288632529934  16.62851871097804
1.785  11.66696529269088  -17.3281203497458  11.66696529269088  17.3281203497458  4.36894308227026  16.62848820516324
1.79  -12.74941862854642  21.48752850290313  12.74941862854642  21.48752850290313  4.701612611211803  20.73278276938072
1.7855  -11.8103780670967  17.3472117618831  11.8103780670967  17.3472117618831  4.368691684254117  16.6284660250295
1.786  11.94358948220184  -17.36554211716926  11.94358948220184  17.36554211716926  4.369193407715477  16.62851029470659
1.8  13.27898146433897  -21.55710701119997  13.27898146433897  21.55710701119997  4.701666339173044  20.73278762759303
1.795  -13.143495118436  21.53849915484109  13.143495118436  21.53849915484109  4.701800486010384  20.73279982302543
1.7885  -12.53192477441206  21.46104361458597  12.53192477441206  21.46104361458597  4.70183330792658  20.73280279387279
1.788  12.44497327719831  -21.45073030491996  12.44497327719831  21.45073030491996  4.70139868248212  20.73276335434238
1.7875  12.28534484720634  -17.41577532463945  12.28534484720634  17.41577532463945  4.369037784656818  16.62849657005804
